"","Period","Trade","Gross_Weight_kt","NZD_Value_mil"
"322",2001-05-31,"Imports",1243.346,2544.537
"323",2001-06-30,"Exports",2081.177,2874.076
"324",2001-06-30,"Imports",1080.43,2660.375
"325",2001-07-31,"Exports",2069.13,2805.867
"326",2001-07-31,"Imports",1321.36,2775.81
"327",2001-08-31,"Exports",2036.005,2684.824
"328",2001-08-31,"Imports",1108.585,2743.432
"329",2001-09-30,"Exports",1921.265,2671.259
"330",2001-09-30,"Imports",1488.975,2629.75
"331",2001-10-31,"Exports",2083.031,2764.136
"332",2001-10-31,"Imports",1399.898,2909.898
"333",2001-11-30,"Exports",1969.163,2761.661
"334",2001-11-30,"Imports",1208.255,2945.156
"335",2001-12-31,"Exports",2229.703,2621.354
"336",2001-12-31,"Imports",1126.704,2529.934
"337",2002-01-31,"Exports",1412.933,2309.093
"338",2002-01-31,"Imports",1521.494,2483.32
"339",2002-02-28,"Exports",2072.838,2649.535
"340",2002-02-28,"Imports",1293.223,2317.771
"341",2002-03-31,"Exports",2219.748,3053.14
"342",2002-03-31,"Imports",1186.374,2488.275
"343",2002-04-30,"Exports",2144.395,2875.084
"344",2002-04-30,"Imports",1457.061,2750.716
"345",2002-05-31,"Exports",2297.608,3203.294
"346",2002-05-31,"Imports",1277.989,2586.705
"347",2002-06-30,"Exports",2215.054,2681.25
"348",2002-06-30,"Imports",1056.676,2296.426
"349",2002-07-31,"Exports",2093.292,2628.024
"350",2002-07-31,"Imports",1373.821,2756.888
"351",2002-08-31,"Exports",2176.511,2538.064
"352",2002-08-31,"Imports",1567.061,2951.973
"353",2002-09-30,"Exports",2143.693,2504.194
"354",2002-09-30,"Imports",1188.162,2755.726
"355",2002-10-31,"Exports",2117.419,2547.392
"356",2002-10-31,"Imports",1401.191,2938.129
"357",2002-11-30,"Exports",2010.371,2569.443
"358",2002-11-30,"Imports",1435.788,2997.069
"359",2002-12-31,"Exports",2371.05,2462.909
"360",2002-12-31,"Imports",1237.451,2639.958
"361",2003-01-31,"Exports",1616.732,2121.71
"362",2003-01-31,"Imports",1331.696,2368.987
"363",2003-02-28,"Exports",1862.562,2401.503
"364",2003-02-28,"Imports",1357.088,2279.467
"365",2003-03-31,"Exports",2551.897,2869.754
"366",2003-03-31,"Imports",1307.393,2470.824
"367",2003-04-30,"Exports",2034.886,2565.663
"368",2003-04-30,"Imports",1264.645,2486.203
"369",2003-05-31,"Exports",2248.075,2822.835
"370",2003-05-31,"Imports",1418.612,2586.975
"371",2003-06-30,"Exports",2109.544,2402.944
"372",2003-06-30,"Imports",1272.204,2459.182
"373",2003-07-31,"Exports",1902.399,2246.312
"374",2003-07-31,"Imports",1604.966,2733.662
"375",2003-08-31,"Exports",1694.879,2332.102
"376",2003-08-31,"Imports",1296.083,2610.09
"377",2003-09-30,"Exports",2027.402,2295.529
"378",2003-09-30,"Imports",1519.197,2863.233
"379",2003-10-31,"Exports",1673.579,2418.63
"380",2003-10-31,"Imports",1512.156,2820.336
"381",2003-11-30,"Exports",1942.71,2463.379
"382",2003-11-30,"Imports",1435.789,2701.754
"383",2003-12-31,"Exports",1662.054,2374.7
"384",2003-12-31,"Imports",1534.353,2810.046
"385",2004-01-31,"Exports",1560.041,2095.421
"386",2004-01-31,"Imports",1430.133,2489.628
"387",2004-02-29,"Exports",2048.467,2578.951
"388",2004-02-29,"Imports",1319.196,2256.765
"389",2004-03-31,"Exports",2184.677,2882.142
"390",2004-03-31,"Imports",1412.476,2669.055
"391",2004-04-30,"Exports",2063.317,2752.522
"392",2004-04-30,"Imports",1829.147,2885.309
"393",2004-05-31,"Exports",2026.892,3345.467
"394",2004-05-31,"Imports",1188.292,2713.497
"395",2004-06-30,"Exports",1802.194,2812.653
"396",2004-06-30,"Imports",1624.367,3064.192
"397",2004-07-31,"Exports",1755.159,2466.518
"398",2004-07-31,"Imports",1546.612,2837.433
"399",2004-08-31,"Exports",1813.009,2441.549
"400",2004-08-31,"Imports",1505.491,2978.532
"401",2004-09-30,"Exports",1765.856,2284.948
"402",2004-09-30,"Imports",1516.282,3098.562
"403",2004-10-31,"Exports",1870,2545.368
"404",2004-10-31,"Imports",1826.385,3016.383
"405",2004-11-30,"Exports",1943.206,2691.617
"406",2004-11-30,"Imports",1566.884,3206.227
"407",2004-12-31,"Exports",1630.922,2598.194
"408",2004-12-31,"Imports",1845.585,3073.948
"409",2005-01-31,"Exports",1636.839,2324.663
"410",2005-01-31,"Imports",1193.241,2471.849
"411",2005-02-28,"Exports",1720.535,2597.212
"412",2005-02-28,"Imports",1694.751,2773.413
"413",2005-03-31,"Exports",1833.236,2852.66
