great_walk,seasonality,hut_or_campsite,measure,date,count
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,Capacity,1/11/2005,290
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,BookedUnits,1/11/2005,21
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,Capacity,1/11/2005,208
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,BookedUnits,1/11/2005,53
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,Capacity,1/11/2005,1160
Heaphy Track - Great Walk,Year-round,Heaphy Hut,BookedUnits,1/11/2005,282
Heaphy Track - Great Walk,Year-round,Heaphy Hut,Capacity,1/11/2005,960
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,BookedUnits,1/11/2005,2
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,Capacity,1/11/2005,300
Heaphy Track - Great Walk,Year-round,Lewis Hut,BookedUnits,1/11/2005,87
Heaphy Track - Great Walk,Year-round,Lewis Hut,Capacity,1/11/2005,520
Heaphy Track - Great Walk,Year-round,Mackay Campsite,BookedUnits,1/11/2005,53
Heaphy Track - Great Walk,Year-round,Mackay Campsite,Capacity,1/11/2005,224
Heaphy Track - Great Walk,Year-round,Mackay Hut,BookedUnits,1/11/2005,164
Heaphy Track - Great Walk,Year-round,Mackay Hut,Capacity,1/11/2005,840
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,BookedUnits,1/11/2005,47
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,Capacity,1/11/2005,270
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,BookedUnits,1/11/2005,226
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,Capacity,1/11/2005,756
Heaphy Track - Great Walk,Year-round,Saxon Campsite,BookedUnits,1/11/2005,38
Heaphy Track - Great Walk,Year-round,Saxon Campsite,Capacity,1/11/2005,270
Heaphy Track - Great Walk,Year-round,Saxon Hut,BookedUnits,1/11/2005,131
Heaphy Track - Great Walk,Year-round,Saxon Hut,Capacity,1/11/2005,432
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,BookedUnits,1/11/2005,2
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,Capacity,1/11/2005,580
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,BookedUnits,1/11/2005,86
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,Capacity,1/11/2005,810
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,BookedUnits,1/11/2005,168
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,Capacity,1/11/2005,750
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,BookedUnits,1/11/2005,650
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,Capacity,1/11/2005,1500
Kepler Track - Great Walk,Seasonal,Luxmore Hut,BookedUnits,1/11/2005,792
Kepler Track - Great Walk,Seasonal,Luxmore Hut,Capacity,1/11/2005,1620
